Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
47,11900,species,Northern Flicker,Colaptes auratus,,Union Bay Natural Area/Montlake Fill,US-WA,25 Jan 2026,L162766,S296298317,,1
48,11400,species,Downy Woodpecker,Dryobates pubescens,,Union Bay Natural Area/Montlake Fill,US-WA,25 Jan 2026,L162766,S296297486,,1
49,748,species,Barrow's Goldeneye,Bucephala islandica,,Carkeek Park,US-WA,24 Jan 2026,L298030,S296057994,,1
50,21557,species,American Crow,Corvus brachyrhynchos,,Home,US-WA,24 Jan 2026,L2327107,S296015398,,1
51,6596,species,Glaucous-winged Gull,Larus glaucescens,,Carkeek Park,US-WA,24 Jan 2026,L298030,S296054633,,1
52,517,species,American Wigeon,Mareca americana,,Green Lake,US-WA,23 Jan 2026,L163354,S295873996,,1
53,11762,species,Pileated Woodpecker,Dryocopus pileatus,,Union Bay Natural Area/Montlake Fill,US-WA,18 Jan 2026,L162766,S294991224,,1
54,10306,species,Belted Kingfisher,Megaceryle alcyon,,Union Bay Natural Area/Montlake Fill,US-WA,18 Jan 2026,L162766,S294989911,,1
55,7753,species,Great Blue Heron,Ardea herodias,,Union Bay Natural Area/Montlake Fill,US-WA,18 Jan 2026,L162766,S294990283,,1
56,7424,species,Double-crested Cormorant,Nannopterum auritum,,Union Bay Natural Area/Montlake Fill,US-WA,18 Jan 2026,L162766,S294993927,,1
57,5500,species,American Coot,Fulica americana,,Union Bay Natural Area/Montlake Fill,US-WA,18 Jan 2026,L162766,S294995432,,1
58,455,species,Wood Duck,Aix sponsa,,Union Bay Natural Area/Montlake Fill,US-WA,18 Jan 2026,L162766,S294994269,,1
59,33779,species,Red-winged Blackbird,Agelaius phoeniceus,,Husky Stadium,US-WA,18 Jan 2026,L20841177,S294980020,,1
60,33277,species,Song Sparrow,Melospiza melodia,,Husky Stadium,US-WA,18 Jan 2026,L20841177,S294977513,,1
61,8367,species,Bald Eagle,Haliaeetus leucocephalus,,Husky Stadium,US-WA,18 Jan 2026,L20841177,S294987125,,1
62,762,species,Common Merganser,Mergus merganser,,Husky Stadium,US-WA,18 Jan 2026,L20841177,S294983104,,1
63,742,species,Bufflehead,Bucephala albeola,,Husky Stadium,US-WA,18 Jan 2026,L20841177,S294987065,,1
64,545,species,Mallard,Anas platyrhynchos,,Husky Stadium,US-WA,18 Jan 2026,L20841177,S294983637,,1
65,8278,species,Cooper's Hawk,Astur cooperii,,Union Bay Natural Area/Montlake Fill,US-WA,18 Jan 2026,L162766,S294988332,,1
66,754,species,Hooded Merganser,Lophodytes cucullatus,,Union Bay Natural Area/Montlake Fill,US-WA,18 Jan 2026,L162766,S294988818,,1
67,505,species,Gadwall,Mareca strepera,,Union Bay Natural Area/Montlake Fill,US-WA,18 Jan 2026,L162766,S294996446,,1
68,4814,species,Anna's Hummingbird,Calypte anna,,Home,US-WA,16 Jan 2026,L2327107,S294550411,,1
69,21303,species,California Scrub-Jay,Aphelocoma californica,,Home,US-WA,14 Jan 2026,L2327107,S294372675,,1
70,28633,species,American Robin,Turdus migratorius,,Home,US-WA,14 Jan 2026,L2327107,S294269075,,1
71,22065,species,Black-capped Chickadee,Poecile atricapillus,,Home,US-WA,14 Jan 2026,L2327107,S294261490,,1
72,32310,species,House Finch,Haemorhous mexicanus,,Home,US-WA,14 Jan 2026,L2327107,S294257044,,1
73,33124,species,Dark-eyed Junco,Junco hyemalis,,Home,US-WA,14 Jan 2026,L2327107,S294256893,,1
74,14020,species,Chestnut-backed Antbird,Poliocrania exsul,,Carara,CR-P,12 Jan 2026,L57163465,S293961526,,1
75,445,species,Muscovy Duck,Cairina moschata,,Vanille,CR-P,12 Jan 2026,L57163600,S293960034,,1
76,33953,species,Northern Waterthrush,Parkesia noveboracensis,,Hacienda Baru,CR-P,12 Jan 2026,L448818,S293841434,,1
77,7462,species,White Ibis,Eudocimus albus,,Carara,CR-P,12 Jan 2026,L57163465,S293959529,,1
78,35644,species,Bananaquit,Coereba flaveola,,Hacienda Baru,CR-P,12 Jan 2026,L448818,S293851556,,1
79,2242,species,Inca Dove,Columbina inca,,Hacienda Baru,CR-P,12 Jan 2026,L448818,S293845320,,1
80,930,species,Great Curassow,Crax rubra,,Hacienda Baru,CR-P,11 Jan 2026,L448818,S293783225,,1
81,27401,species,Rufous-backed Wren,Campylorhynchus capistratus,,Hacienda Baru,CR-P,11 Jan 2026,L448818,S293646059,,1
82,1999,species,Short-billed Pigeon,Patagioenas nigrirostris,,Hacienda Baru,CR-P,11 Jan 2026,L448818,S293643152,,1
83,27540,species,Riverside Wren,Cantorchilus semibadius,,Hacienda Baru,CR-P,11 Jan 2026,L448818,S293782311,,1
84,10316,species,Green Kingfisher,Chloroceryle americana,,Hacienda Baru,CR-P,11 Jan 2026,L448818,S293782353,,1
85,6147,species,Willet,Tringa semipalmata,,Hacienda Baru,CR-P,10 Jan 2026,L448818,S293530354,,1
86,8411,species,Common Black Hawk,Buteogallus anthracinus,,Dominical,CR-P,10 Jan 2026,L57067418,S293520676,,1
87,7431,species,Neotropic Cormorant,Nannopterum brasilianum,,Dominical,CR-P,10 Jan 2026,L57067418,S293513597,,1
88,33864,species,Great-tailed Grackle,Quiscalus mexicanus,,Dominical,CR-P,10 Jan 2026,L57067418,S293512812,,1
89,8430,species,Roadside Hawk,Rupornis magnirostris,,Hacienda Baru,CR-P,10 Jan 2026,L448818,S293440258,,1
90,884,species,Crested Guan,Penelope purpurascens,,Hacienda Baru,CR-P,10 Jan 2026,L448818,S293460047,,1
91,33843,species,Melodious Blackbird,Dives dives,,Hacienda Baru,CR-P,10 Jan 2026,L448818,S293437929,,1
92,6775,species,Sandwich Tern,Thalasseus sandvicensis,,Dominical,CR-P,10 Jan 2026,L57067418,S293534272,,1
93,17403,species,Gray-capped Flycatcher,Myiozetetes granadensis,,Hacienda Baru,CR-P,10 Jan 2026,L448818,S293567061,,1
94,7645,species,Snowy Egret,Egretta thula,,Hacienda Baru,CR-P,10 Jan 2026,L448818,S293553975,,1
95,3751,species,Common Potoo,Nyctibius griseus,,Hacienda Baru,CR-P,09 Jan 2026,L448818,S293379714,,1
96,33157,species,Volcano Junco,Junco vulcani,,Cerro,CR-SJ,09 Jan 2026,L57031688,S293347093,,1
97,34432,species,Summer Tanager,Piranga rubra,,Miriam's,CR-SJ,09 Jan 2026,L57031774,S293347675,,1
98,4736,species,Fiery-throated Hummingbird,Panterpe insignis,,Miriam's,CR-SJ,09 Jan 2026,L57031774,S293347807,,1
99,5015,species,Stripe-tailed Hummingbird,Eupherusa eximia,,Savegre,CR-SJ,09 Jan 2026,L56977589,S293273507,,1
100,4757,species,Purple-throated Mountain-gem,Lampornis calolaemus,1,Savegre,CR-SJ,09 Jan 2026,L56977589,S293271685,,1
101,33972,species,Tennessee Warbler,Leiothlypis peregrina,,Savegre,CR-SJ,09 Jan 2026,L56977589,S293253428,,1
102,35022,species,Golden-hooded Tanager,Stilpnia larvata,,Hacienda Baru,CR-P,09 Jan 2026,L448818,S293357911,,1
103,32867,species,Common Chlorospingus,Chlorospingus flavopectus,,Savegre,CR-SJ,09 Jan 2026,L56977589,S293252970,,1
104,7815,species,Turkey Vulture,Cathartes aura,,Savegre,CR-SJ,08 Jan 2026,L56977589,S293204559,,1
105,11146,species,Acorn Woodpecker,Melanerpes formicivorus,,Savegre,CR-SJ,08 Jan 2026,L56977589,S293192839,,1
106,28181,species,Black-faced Solitaire,Myadestes melanops,,Savegre,CR-SJ,08 Jan 2026,L56977589,S293165495,,1
107,33446,species,Yellow-thighed Brushfinch,Atlapetes tibialis,,Savegre,CR-SJ,08 Jan 2026,L56977589,S293162289,,1
108,4724,species,Talamanca Hummingbird,Eugenes spectabilis,,Savegre,CR-SJ,08 Jan 2026,L56977589,S293100344,,1
109,35130,species,Silver-throated Tanager,Tangara icterocephala,,Savegre,CR-SJ,08 Jan 2026,L56977589,S293113897,,1
110,34442,species,Flame-colored Tanager,Piranga bidentata,,Savegre,CR-SJ,08 Jan 2026,L56977589,S293123802,,1
